epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,885.616,1.52233,1.66503,1.22698,0.82201,0.74056,0.81217,0.47438,1.43732,1.15952,1.2122,0.000555111,0.000555111,0.000555111
2,1769,1.49311,1.20605,1.21667,0.84743,0.76113,0.83874,0.49089,1.38388,1.04611,1.18764,0.00107412,0.00107412,0.00107412
3,2654.31,1.49192,1.10139,1.21572,0.86009,0.79593,0.86155,0.5031,1.38783,0.92304,1.21169,0.00155646,0.00155646,0.00155646
4,3548.44,1.44826,1.04246,1.20833,0.87354,0.78015,0.865,0.53325,1.34349,0.86807,1.18583,0.00150197,0.00150197,0.00150197
5,4381.16,1.41765,0.97572,1.18807,0.89148,0.7915,0.8781,0.52505,1.37286,0.80963,1.19084,0.00144696,0.00144696,0.00144696
6,5182.36,1.40717,0.93502,1.18576,0.86119,0.82654,0.88149,0.51943,1.40501,0.79655,1.21107,0.00139195,0.00139195,0.00139195
7,5972.97,1.39183,0.90907,1.17627,0.881,0.81687,0.89408,0.55645,1.31453,0.75546,1.17247,0.00133693,0.00133693,0.00133693
8,6766.09,1.37385,0.87838,1.16737,0.88571,0.83368,0.89765,0.56202,1.29735,0.71226,1.1565,0.00128192,0.00128192,0.00128192
9,7561.43,1.36103,0.85079,1.16439,0.88881,0.83847,0.90188,0.56902,1.28257,0.7007,1.15309,0.00122691,0.00122691,0.00122691
10,8317.1,1.33543,0.82156,1.14568,0.88125,0.82251,0.89307,0.56096,1.29869,0.70482,1.1544,0.0011719,0.0011719,0.0011719
11,9063.33,1.34758,0.81984,1.15612,0.89026,0.83724,0.90806,0.56922,1.2866,0.68876,1.14755,0.00111689,0.00111689,0.00111689
12,9802.59,1.32967,0.8029,1.14095,0.89798,0.84411,0.91061,0.57901,1.27184,0.66503,1.14448,0.00106188,0.00106188,0.00106188
13,10543.4,1.31584,0.77884,1.13588,0.89075,0.85992,0.92118,0.58145,1.26771,0.66308,1.14284,0.00100687,0.00100687,0.00100687
14,11286.2,1.32081,0.78089,1.14659,0.89025,0.8517,0.91115,0.57205,1.27726,0.65501,1.14288,0.000951857,0.000951857,0.000951857
15,12034.8,1.30031,0.76419,1.13686,0.88977,0.86144,0.91627,0.58371,1.27201,0.65852,1.14941,0.000896846,0.000896846,0.000896846
16,12777.3,1.30891,0.75527,1.12957,0.90145,0.84551,0.9184,0.58127,1.27488,0.65143,1.14481,0.000841835,0.000841835,0.000841835
17,13520.4,1.29028,0.73752,1.11955,0.9087,0.85372,0.92502,0.59151,1.24982,0.63318,1.13841,0.000786824,0.000786824,0.000786824
18,14263.1,1.29475,0.73424,1.12214,0.9005,0.85678,0.92378,0.59575,1.24115,0.62414,1.12834,0.000731813,0.000731813,0.000731813
19,15003,1.27846,0.72021,1.11995,0.91815,0.85954,0.92688,0.59624,1.24941,0.60675,1.13147,0.000676802,0.000676802,0.000676802
20,15746.4,1.27446,0.70351,1.11204,0.91753,0.85925,0.92586,0.59932,1.23641,0.60135,1.1267,0.000621791,0.000621791,0.000621791
21,16478.6,1.24826,0.62478,1.11932,0.914,0.86573,0.92507,0.59716,1.2428,0.5982,1.1299,0.00056678,0.00056678,0.00056678
22,17212.6,1.23965,0.61661,1.11616,0.91061,0.8598,0.92237,0.59659,1.23925,0.59588,1.12359,0.000511769,0.000511769,0.000511769
23,17944.4,1.22643,0.60313,1.10916,0.91671,0.87072,0.93056,0.6013,1.23854,0.59448,1.12612,0.000456758,0.000456758,0.000456758
24,18678.7,1.22217,0.60007,1.10837,0.91392,0.87213,0.93311,0.6091,1.21623,0.58202,1.115,0.000401747,0.000401747,0.000401747
25,19410.6,1.20895,0.58151,1.10136,0.91688,0.86508,0.93427,0.60327,1.22641,0.58054,1.11642,0.000346736,0.000346736,0.000346736
26,20140.9,1.19866,0.57008,1.0879,0.9237,0.8656,0.93508,0.60225,1.23108,0.56843,1.11702,0.000291725,0.000291725,0.000291725
27,20872.4,1.18892,0.55792,1.08514,0.9151,0.87579,0.9338,0.60585,1.22537,0.5629,1.11359,0.000236714,0.000236714,0.000236714
28,21603,1.17848,0.55021,1.0815,0.92096,0.87231,0.93525,0.60957,1.22286,0.55886,1.11616,0.000181703,0.000181703,0.000181703
29,22338.8,1.17359,0.54473,1.08025,0.9241,0.86564,0.93642,0.61409,1.21248,0.55113,1.1107,0.000126692,0.000126692,0.000126692
30,23071.9,1.16604,0.53489,1.07891,0.91993,0.8763,0.93831,0.61323,1.21253,0.54449,1.10786,7.1681e-05,7.1681e-05,7.1681e-05
